Peak-to-Peak Amplitude,RMS,Standard Deviation,Area Under Signal,Peak Positive,Peak Negative,Number of Peaks,Distance from Mean,SNR,Spectral Entropy,Spectral Centroid,Spectral Bandwidth,Spectral Contrast,Zero Crossing Rate,Distance from Mean ftt,distance_from_mean_mfcc
0.34031124285582476,-1.2141995765159181,-1.214200760040961,-1.016284542488346,1.09521512610052,0.4175082631303361,0.2725909621141842,-1.01629125698948,-0.1879105791239265,-0.5124946566849095,-0.9702015799319725,-1.3532904231428033,-0.9694545871970949,-0.6388039953051922,0.7371392141866512,-1.150029721840385
0.07714839006369208,-0.7017306744269809,-0.7017296590051475,-0.6227377584286606,-0.08037643983693234,-0.22265180820080535,-1.0220795393098967,-0.6227418949344709,-0.5696919196104229,-1.1207693041821323,-1.2790294904598205,-1.5939628761403912,-0.9075467914977794,-0.993654085735853,1.0110602286640455,-1.150029721840385
-0.10424069491167622,-0.7402801112831909,-0.7402769075395216,-0.6613614299892852,-0.07458534837911238,0.12398508631911405,-1.0220795393098967,-0.6613621146591997,3.9487114553922185,1.9308786723851816,2.3824563883593077,0.0622159671323264,-0.8794671520952235,3.6336301646656968,1.2502729400422137,-1.150029721840385
-0.724234534540599,-0.709565338510364,-0.7095643232396028,-0.5029218786598698,-0.7897851434198778,0.5992130868706165,0.2725909621141842,-0.5029244994114613,-0.6059051320318608,-0.014146679414993282,0.4061370284617052,0.9247057934769908,1.7922234405819806,-0.08304428623431721,-1.3607688188148637,-1.150029721840385
-0.9725294295478655,-1.356786522516264,-1.3567877087907476,-1.0605940426647178,-0.9287713384075569,0.9318726872566682,-1.0220795393098967,-1.0605943392952057,-0.036748529926506894,-0.28073473156436246,-0.7189189050995248,-0.9141828944554472,-1.3404990803645696,-0.49954312615466157,0.45377820859995394,-1.150029721840385
-0.8699405208322883,-1.2867583291585039,-1.2867595140826649,-1.0253909687647151,-1.0069510730881264,0.663508639886408,0.2725909621141842,-1.0253966965122085,-0.19699113851369385,-0.427714390455348,-0.8016561324230232,-1.0364875939821336,-0.9927075691247216,-0.5963559428045996,0.42615406966824654,-1.150029721840385
-0.7524836543318449,-0.7479615408078042,-0.7479605262774199,-0.5481671467329878,-0.5118127534445196,0.9206908519495739,0.2725909621141842,-0.5481722525204684,-0.29878323204607404,-0.524190951971367,-0.8524962141837603,-1.0069253433529373,-0.9858781676298877,-0.7218860809687453,0.46827742322129706,-1.150029721840385
-0.533924674894311,-0.842157013148674,-0.8421581894997864,-0.6501678258459663,-0.5842013966672691,0.43987193374452443,0.2725909621141842,-0.650169496712467,-0.2799545733887615,-0.46167612524072893,-0.8368596400122857,-0.995175038166833,-1.0807579144286816,-0.6539580337718732,0.4475386386296224,-1.150029721840385
0.6332100112176899,-0.8705623222143287,-0.8705634991131681,-1.0128896636071274,0.35685096522847487,-0.8460391265713055,-1.0220795393098967,-1.0128859907692744,-0.31745435198776617,-0.6210586517332114,-0.7408057059829051,-0.5077120769708711,-1.4038222004607783,-0.7758601332607545,0.6379046095615752,-1.150029721840385
2.79649786891573,-0.6084152062664744,-0.6084185671756155,-1.0536064481376408,2.386628521194372,-2.9538150819585574,-1.0220795393098967,-1.0536032807588793,1.853812389139256,1.297705762357995,1.3149829742443533,0.6182361164394031,-1.177500290013409,1.677949870759367,0.21193161457722406,-1.150029721840385
