mfcc,zero crossing rate,root mean square,spectral centroid,spectral bandwidth,spectral contrast,polynomial,labels
-0.48221365,0.1324737619634571,0.010626291,2181.985600752454,1979.0462867501178,14.802237281414396,8.514656516093504e-09,0
-0.25015953,0.08805149724477958,0.010659057,1741.4862212461767,1832.084358373262,13.6646868949586,1.120794155807851e-08,0
0.098963335,0.07451103900812064,0.010118144,1517.7971921227454,1813.132756334112,15.07187123715106,1.0973229005965372e-08,0
0.062431257,0.11702889356148492,0.010602802,2193.556432317006,2222.402711184735,17.564280803489517,8.242241805738512e-09,0
-0.4207226,0.11121370178364269,0.011297173,2138.45581860357,2178.7556190837427,17.015290431672057,8.625337898586153e-09,0
-0.056379013,0.10363911144141531,0.010701163,1859.6902039651202,1866.8025818742144,14.08643534082492,1.0047715560478115e-08,0
-0.19363081,0.11461467698665893,0.0112940045,2236.6111066611566,2284.650247449989,17.13269112682186,8.583312747980089e-09,0
0.011205324,0.07411678871809745,0.010421412,1490.8236119594956,1635.91443217791,13.327880203211045,1.2115610759973479e-08,0
-0.21285444,0.14412680358178653,0.011003558,2209.579759506521,1920.0358202115356,15.907814570775642,8.227859567635497e-09,0
-0.26775315,0.15980278422273783,0.010137235,2651.2921303912667,2286.202522960636,16.26147971104078,5.319894697727653e-09,0
-0.3037842,0.0587954067575406,0.011298635,1458.7035048005484,1714.0175766814255,15.54976431810645,1.1409073440227871e-08,0
-0.17050543,0.11975692430394431,0.010323686,2251.3995650031184,2263.9091917276837,17.232259596456114,7.88436860524282e-09,0
-0.31671256,0.15105224042923435,0.010692707,2360.381828519475,2069.9823894692568,13.658503872222253,7.707870543731124e-09,0
-0.021735411,0.08591824064675174,0.010771753,1730.357298521178,1837.397544732746,13.823734456371874,1.1252354798637196e-08,0
-0.08482417,0.10669908280162413,0.010424156,1809.1065651196948,1787.2646004968758,13.758888137528727,1.089165762322813e-08,0
-0.25996,0.04829905923723898,0.010672069,1324.9031162156177,1802.4373564357456,15.16985037612711,1.0773911595386679e-08,0
-0.2863097,0.03763051044083527,0.011228986,1002.7853295540776,1481.049407109454,16.848306199490537,1.1248552394268068e-08,0
-0.23766398,0.21293707402842227,0.010441123,2774.4765777060784,2176.073028145453,14.178445536810258,4.82553621454067e-09,0
-0.095959485,0.08215247063515081,0.011313093,1652.245564368393,1761.263433832989,13.183363364277676,1.1949751584069193e-08,0
-0.22389743,0.1658660817865429,0.010935173,2309.2084073487827,2033.029388931005,14.032015879233894,8.098652049252701e-09,0
-0.060097083,0.08853298107598608,0.010665089,1725.9072732436368,1809.650656267697,14.176614498409416,1.1246175875328892e-08,0
-0.2710083,0.15143402878480278,0.010386245,2609.755320274556,2291.0945082454173,16.10940902737574,5.693340477593504e-09,0
-0.14498606,0.08711005474187936,0.009799139,1764.4546654398325,1898.2712336660506,13.718916299958725,1.0138774444043735e-08,0
0.028152093,0.0892705010150812,0.010567684,1726.0149660838233,1813.1935568411864,13.590768746792468,1.1182998793979918e-08,0
-0.41794577,0.3429309110353828,0.01054154,3619.685170788237,2122.3116336741696,16.293016518728408,1.599615490624962e-05,0
-0.32535547,0.12552906576276102,0.011056024,1953.4944515425082,1916.2047339070577,15.00155968203365,9.716311999068205e-09,0
0.029700428,0.1453016241299304,0.010903343,2511.82742785887,2255.4408359964386,16.33302193181825,6.350617220947792e-09,0
-0.10837447,0.05564593604988399,0.010433284,1342.825189033674,1758.3181591775233,15.412669672852703,1.1270020235435862e-08,0
